% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=42, Thu Feb 12 15:06:38 2026, <python>{}</python>
1 8 0.14832752785824133 0 0 0.14355733088349817 0.15508169260156118 0.14457064493314087 0.1394070368269228 0.14095471941930265
2 16 0.17671151461056286 0 0 0.17332646760949438 0.20415027321273804 0.1882846327823177 0.16141411463477562 0.17102905928758466
3 24 0.19389320393596793 0 0 0.1905651908163228 0.22804973329325037 0.20296672240066677 0.1871435778150102 0.19093145453334745
4 32 0.1920189740893779 0 0 0.19419862884407046 0.2296510631333193 0.1877423825049767 0.1739394976246838 0.2032345700044699
5 40 0.21852930956224745 0 0 0.22191436502560058 0.231511667697928 0.2042824783110721 0.1890894179973681 0.2658410488400413
6 48 0.2728848310485451 0 0 0.2784024756635993 0.2869097961234363 0.25892797516958344 0.2369929735551441 0.30519962596439837
7 56 0.28479176031925174 0 0 0.28826119657617394 0.3044961130669601 0.2667144576012993 0.24477127088975564 0.3033395105240606
8 64 0.29206453990084513 0 0 0.29489207527030076 0.27688542025976554 0.2708602883184215 0.24474315746604883 0.29988068274361523
9 72 0.2671192739433907 0 0 0.24911138741448324 0.2628774212847067 0.24021194510956675 0.21873082986400902 0.2512865974779005
10 80 0.2674583803787914 0 0 0.24509905961559142 0.2713005589588424 0.22037498812234 0.2205878757455945 0.2476580066473872
11 88 0.27265299401154386 0 0 0.24938718398125292 0.2899980822659469 0.21171145046184084 0.24378426114481144 0.24883265929592008
12 96 0.24220040242129487 0 0 0.22013024616021393 0.24468508944790446 0.17533726800105198 0.2161988467953205 0.22371758356675955
13 104 0.21589653340939083 0 0 0.18955732242789408 0.20841182746252507 0.1449494461905735 0.1957846411007756 0.19016445156197495
14 112 0.1980638511442291 0 0 0.16059155592103835 0.1899639493737181 0.12140818521484513 0.17922420842948103 0.16742425850212297
15 120 0.17432550350425619 0 0 0.13485314955481384 0.16210499999360425 0.10539330833783501 0.15675723737246539 0.14612594005022275
16 128 0.17237093092451017 0 0 0.12508183493602842 0.17467965183106635 0.09365022598024024 0.15045631366033704 0.1425783468365045
17 136 0.19109327660645356 0 0 0.1386605505560327 0.18820166961953552 0.0999590757514158 0.19608675030285327 0.15520256436158986
18 144 0.1771877334176167 0 0 0.12399245513408898 0.15862563886899933 0.08980040160305347 0.18777614942319054 0.14315573133553178
19 152 0.16164516579003452 0 0 0.11248685663450504 0.14477193266613247 0.07069531331953853 0.1705882807071331 0.13313661362529428
20 160 0.16156193295006338 0 0 0.10949826294176777 0.1342775569739929 0.071867171396702 0.16841975525095665 0.12869504599001458
